State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9529352206146985	0.03698319105028397	0.0	0.0022578697496182134	3.2436547136097793E-5	5.761796799358536E-4	0.0011655566232495619	0.0	0.0	0.006049545735077811
2	0.007845786487742873	0.9698347766578482	0.0010799366054756662	0.008491769375552682	2.331538610210272E-4	0.01243257911135386	8.199790100561084E-5	0.0	0.0	0.0
3	0.0	8.502301192999528E-4	0.9989755933728878	0.0	0.0	3.142579868665819E-5	5.5864736324727176E-5	1.4141448791248831E-6	3.3169748490109592E-6	8.21548530727072E-5
4	0.00959704422675851	0.16835839741690453	0.0	0.732215933009826	0.06570745897049299	0.0	0.007564343055155259	0.002101026747072105	0.010163829312749685	0.00429196726104068
5	2.1035778813721203E-4	0.011447802831676453	0.0	0.17076692791513345	0.6587641839801316	0.11293808475028926	0.04302237523992987	0.0013512704863559738	0.001498997008346215	0.0
6	0.00266478572654717	0.22375514697962393	7.043964305106691E-4	0.0	0.039730131745798154	0.6946405339258173	0.037006356737984684	0.0014180687646467992	0.0	8.05796890712587E-5
7	0.014146317723786694	0.00497219488334026	0.004178416476956015	0.022709378758254035	0.048036235820283275	0.11781074601248351	0.7228096960067628	0.06472228235710199	5.862628579416792E-4	2.8469103089651122E-5
8	0.0	0.0	1.9393865196057637E-4	0.004831903033065874	0.0013106063934927806	0.004679694093421716	0.06430389404315341	0.8295980590490047	0.08915042312455979	0.0059314816113409646
9	0.0	0.0	2.513395417090353E-4	0.022056977115546123	0.001306686094096911	0.0	3.2025287297851146E-4	0.06598994433014073	0.7573352862949131	0.15273951375061554
10	0.019023562432216406	0.0	0.0015303380491238064	0.003314340720514563	0.0	3.7279029804205606E-5	5.19963439447132E-5	0.0015118560505422358	0.05080398176508365	0.9237266456087706
